Position,Name,Price,24h,7d,30d,Market Cap,Volume(24h),Initials
1,Ethereum,4665.21,4.86%,27.98%,54.41%,563131431168,62672898365,ETH
2,Solana,197.84,9.32%,17.68%,20.14%,106768840640,13851200655,SOL
3,OKB,95.48,106.74%,111.00%,100.14%,5728751728,1151749025,OKB
4,Dogecoin,0.2422,6.08%,19.18%,20.68%,36456353372,4255343929,DOGE
5,Cardano,0.8717,7.46%,18.52%,18.23%,31038802736,2604697218,ADA
6,BNB,843.04,3.10%,9.95%,21.42%,117424738832,3497453836,BNB
7,Bitcoin,121333.35,1.37%,5.32%,1.14%,2415238931912,81527387977,BTC
8,Sui,3.95,4.08%,14.07%,1.66%,13880972567,2291719583,SUI
9,Chainlink,23.58,0.35%,41.64%,46.75%,15987724821,2446837373,LINK
10,Litecoin,130.48,5.47%,10.81%,35.89%,9940660334,1599467815,LTC
11,Pepe,0.00001216,2.26%,16.26%,1.30%,5115946250,1506486370,PEPE
12,Bitget Token,4.69,5.78%,7.93%,5.93%,5352110716,514909572,BGB
13,XRP,3.27,1.76%,9.53%,10.01%,193650858948,9832569059,XRP
14,Zircuit,0.03417,0.26%,1.57%,40.30%,74990347,1051820257,ZRC
15,SKALE,0.02859,34.63%,44.73%,32.41%,169838771,279264251,SKL
16,Aspecta,0.1562,7.17%,1.10%,72.75%,35926308,1173632444,ASP
17,Shiba Inu,0.00001376,3.00%,11.99%,2.23%,8106622412,368970506,SHIB
18,Arbitrum,0.5392,16.08%,39.68%,31.07%,2777234805,931845340,ARB
19,Fartcoin,1.07,22.05%,10.64%,18.82%,1073551536,684660163,FARTCOIN
20,Avalanche,25.07,4.06%,13.02%,16.08%,10587961042,909256915,AVAX
21,OFFICIAL TRUMP,9.67,7.48%,9.93%,1.66%,1933628454,819251655,TRUMP
22,Trusta.AI,0.0612,3.00%,9.56%,51.22%,11016583,749011662,TA
23,TRON,0.3586,2.92%,7.21%,19.15%,33951202598,1368025341,TRX
24,Bonk,0.00002614,3.79%,7.57%,2.87%,2105060742,707167581,BONK
25,Spark,0.09336,10.09%,20.01%,187.64%,137386870,279396202,SPK
26,dogwifhat,1.04,9.17%,16.95%,1.98%,1034044962,490042107,WIF
27,Curve DAO Token,1.03,5.14%,12.41%,50.63%,1409671391,397620427,CRV
28,Yala,0.2514,4.38%,28.02%,39.18%,61941847,1182559897,YALA
29,Raydium,3.67,14.02%,37.80%,31.31%,983498618,306522398,RAY
30,Aave,323.63,4.33%,24.33%,0.90%,4923286918,801837522,AAVE
31,Aerodrome Finance,1.36,9.71%,79.44%,64.05%,1185409125,224667997,AERO
32,Towns,0.03385,4.93%,6.86%,58.18%,71397955,154417927,TOWNS
33,Sei,0.3508,10.58%,20.42%,5.04%,2028030172,329131715,SEI
34,Hyperliquid,45.50,3.06%,17.34%,4.93%,15192721151,451312199,HYPE
35,Toncoin,3.46,1.16%,7.26%,14.72%,8887334520,428753304,TON
36,THENA,0.4349,14.44%,20.12%,38.46%,47393047,85228885,THE
37,Hedera,0.263,2.95%,7.85%,9.52%,11147999485,492415839,HBAR
38,PancakeSwap,2.90,3.40%,9.84%,19.93%,999265473,127604571,CAKE
39,Uniswap,12.01,6.65%,24.64%,28.72%,7551137248,1041131230,UNI
40,ZKsync,0.06911,17.47%,32.32%,24.03%,507415833,127185881,ZK
41,MyShell,0.1578,9.82%,10.13%,3.18%,47189763,96756608,SHELL
42,Pudgy Penguins,0.03673,0.64%,8.71%,29.32%,2308578837,778766457,PENGU
43,Aptos,4.95,4.23%,16.30%,1.84%,3384496369,328954954,APT
44,Polkadot,4.22,3.76%,15.70%,4.74%,6783090531,588558135,DOT
45,Optimism,0.8402,7.88%,25.63%,25.10%,1472101284,375319207,OP
46,Ondo,1.06,2.33%,14.18%,16.24%,3351167537,296248734,ONDO
47,Santos FC Fan Token,2.79,0.56%,28.15%,31.86%,37416191,97673030,SANTOS
48,Injective,15.58,7.91%,19.30%,24.56%,1557198887,194277888,INJ
49,BOOK OF MEME,0.002133,11.33%,22.37%,17.33%,146990683,100987629,BOME
50,Alpine F1 Team Fan Token,1.40,5.09%,57.20%,66.00%,26243779,135237635,ALPINE
